Age_Bracket,City,Monthly_Income,Dietary_Style,Weekly_Workouts,Orders_Per_Week,Avg_Spend_Order,Primary_Occasions,Interest_Calorie_Control,Alcohol_Consumption_Freq,Drink_Preference,Max_Set_Calories,Favourite_Flavours,Spirits_Enjoyed,Openness_Zero_Proof,Fair_Price_Bundle,Importance_Local_Ingredients,Likely_Try_30_Days,Likely_Reorder_Score,Preferred_Loyalty_Benefit
35-44,Delhi,68507.0,Vegetarian,7,1,2000.0,"Dinner, Lunch, Post-work drinks",5,1× week,Equal,400,Spicy,"Rum, Vodka",Unlikely,1 000-1 200,3,Yes,4,Points
35-44,Bengaluru,20000.0,Omni,2,1,992.0,Dinner,3,1-2× month,Cocktails,700,Smoky,"Gin, Tequila, Whisky",Unlikely,1 000-1 200,2,Maybe,4,Points
35-44,Bengaluru,20000.0,Omni,0,2,1210.0,Dinner,2,1-2× month,Cocktails,500,"Citrus, Fruity","Rum, Whisky",Yes definitely,1 000-1 200,5,Yes,3,Points
25-34,Mumbai,43863.0,Vegan,3,0,1991.0,Weekend treat,2,Never,Mocktails,500,"Earthy, Spicy",None,Yes definitely,<800,3,Yes,5,Nutrition consult
18-24,Chennai,42694.0,Omni,7,1,3544.0,Lunch,4,2-3× week,Cocktails,600,"Fruity, Herbal","Gin, Tequila",Unlikely,1 000-1 200,5,No,2,Points
18-24,Hyderabad,20000.0,Omni,5,2,993.0,"Dinner, Post-work drinks",5,Never,Mocktails,500,Herbal,None,Yes definitely,1 000-1 200,5,Maybe,3,Cocktail upgrade
25-34,Bengaluru,57144.0,Vegetarian,3,1,4000.0,"Dinner, Lunch, Post-work drinks, Weekend treat",4,Never,Mocktails,600,Smoky,None,Yes definitely,<800,4,No,1,Free delivery
35-44,Kolkata,20817.0,Vegan,5,1,881.0,Dinner,5,Never,Mocktails,400,Citrus,None,Yes definitely,>1 200,5,Maybe,4,Points
25-34,Mumbai,35046.0,Omni,0,0,1752.0,"Lunch, Post-work drinks, Weekend treat",2,1× week,Equal,400,Earthy,"Rum, Tequila",Yes definitely,1 000-1 200,5,Yes,4,Free delivery
35-44,Hyderabad,63358.0,Vegetarian,0,1,2000.0,Post-work drinks,2,Never,Mocktails,600,"Citrus, Fruity, Spicy",None,Yes definitely,>1 200,5,Maybe,2,Points
35-44,Chennai,42838.0,Omni,4,4,1965.0,"Lunch, Post-work drinks, Weekend treat",4,1× week,Cocktails,700,"Earthy, Fruity, Smoky",Whisky,Yes definitely,1 000-1 200,3,Maybe,2,Cocktail upgrade
18-24,Mumbai,26961.0,Keto,0,2,1441.0,"Lunch, Post-work drinks",3,Never,Mocktails,600,"Fruity, Herbal, Spicy",None,Yes definitely,1 000-1 200,5,Yes,4,Free delivery
25-34,Delhi,20000.0,Keto,1,4,1041.0,Lunch,2,1× week,Equal,400,"Earthy, Spicy",Gin,Never,1 000-1 200,5,Maybe,2,Free delivery
18-24,Mumbai,56796.0,Omni,0,2,2000.0,"Dinner, Post-work drinks",3,Never,Mocktails,400,"Earthy, Fruity, Spicy",None,Yes definitely,>1 200,5,Yes,4,Nutrition consult
35-44,Delhi,26129.0,Keto,2,4,1190.0,"Lunch, Weekend treat",5,Never,Mocktails,600,"Citrus, Herbal",None,Yes definitely,1 000-1 200,5,No,2,Free delivery
35-44,Pune,62189.0,Omni,2,1,2000.0,Dinner,5,2-3× week,Equal,400,"Citrus, Spicy",Rum,Unlikely,1 000-1 200,3,Yes,4,Nutrition consult
25-34,Chennai,25754.0,Vegetarian,0,3,2400.0,Dinner,3,1× week,Cocktails,500,Herbal,"Vodka, Whisky",Yes definitely,<800,5,Yes,5,Free delivery
35-44,Pune,26991.0,Vegetarian,0,5,1366.0,Lunch,5,Never,Mocktails,500,"Citrus, Smoky",None,Yes definitely,<800,3,Maybe,2,Cocktail upgrade
35-44,Delhi,20000.0,Omni,0,0,2166.0,"Dinner, Lunch",4,2-3× week,Mocktails,600,Smoky,Tequila,Maybe,1 000-1 200,5,Yes,4,Points
25-34,Pune,56385.0,Omni,4,2,2000.0,"Dinner, Lunch, Weekend treat",5,1-2× month,Mocktails,600,"Citrus, Smoky",Gin,Maybe,<800,2,Yes,5,Nutrition consult
25-34,Bengaluru,59461.0,Omni,0,0,2000.0,Weekend treat,4,1-2× month,Mocktails,400,Earthy,"Rum, Tequila, Whisky",Maybe,1 000-1 200,4,Maybe,4,Free delivery
25-34,Hyderabad,22723.0,Omni,5,2,1229.0,Dinner,5,1-2× month,Cocktails,600,"Herbal, Smoky, Spicy",Whisky,Maybe,>1 200,4,Yes,4,Points
35-44,Hyderabad,20000.0,Omni,0,4,997.0,Weekend treat,4,2-3× week,Mocktails,600,"Citrus, Fruity","Rum, Tequila, Whisky",Maybe,<800,4,Yes,4,Free delivery
18-24,Delhi,29993.0,Omni,2,0,1440.0,"Lunch, Post-work drinks, Weekend treat",5,1× week,Cocktails,500,"Earthy, Fruity, Herbal, Smoky",Rum,Yes definitely,>1 200,3,Maybe,3,Nutrition consult
35-44,Kolkata,23689.0,Omni,7,1,1090.0,"Dinner, Lunch, Weekend treat",5,1× week,Cocktails,500,"Citrus, Spicy",Vodka,Maybe,800-1 000,3,Yes,5,Points
18-24,Hyderabad,22885.0,Omni,4,2,1142.0,"Dinner, Weekend treat",2,1× week,Cocktails,500,Citrus,"Tequila, Whisky",Unlikely,1 000-1 200,4,No,1,Cocktail upgrade
45-54,Mumbai,20000.0,Vegan,5,1,1059.0,Dinner,5,Never,Mocktails,400,Earthy,None,Yes definitely,1 000-1 200,4,Maybe,4,Free delivery
18-24,Bengaluru,120038.0,Vegan,0,2,2000.0,Weekend treat,4,1-2× month,Cocktails,600,Earthy,Tequila,Maybe,1 000-1 200,4,Yes,4,Points
18-24,Pune,20000.0,Vegetarian,1,3,1003.0,Weekend treat,5,Daily,Mocktails,500,Smoky,"Tequila, Vodka",Unlikely,<800,4,Maybe,3,Cocktail upgrade
18-24,Mumbai,37108.0,Omni,3,0,1647.0,"Dinner, Lunch",5,1-2× month,Equal,500,"Citrus, Herbal, Spicy",Rum,Maybe,800-1 000,5,No,1,Free delivery
25-34,Mumbai,47391.0,Omni,2,3,2000.0,"Lunch, Weekend treat",5,1-2× month,Avoid all,500,Fruity,Vodka,Maybe,1 000-1 200,4,Maybe,4,Points
25-34,Bengaluru,20000.0,Vegetarian,2,1,1042.0,Lunch,2,Never,Mocktails,700,Earthy,None,Yes definitely,800-1 000,3,Yes,4,Points
25-34,Delhi,35556.0,Omni,1,1,1616.0,Post-work drinks,4,1× week,Cocktails,600,Earthy,Whisky,Yes definitely,800-1 000,5,Yes,4,Free delivery
45-54,Mumbai,22295.0,Vegetarian,1,4,1179.0,Weekend treat,2,Never,Mocktails,500,"Citrus, Earthy",None,Yes definitely,<800,3,No,2,Points
25-34,Chennai,43383.0,Omni,0,0,1817.0,"Dinner, Lunch, Post-work drinks, Weekend treat",5,2-3× week,Equal,500,"Citrus, Earthy, Fruity, Herbal, Smoky",Gin,Maybe,800-1 000,3,Yes,5,Free delivery
18-24,Delhi,29815.0,Vegan,2,1,1452.0,Weekend treat,2,2-3× week,Equal,400,Fruity,Gin,Maybe,1 000-1 200,4,No,1,Free delivery
18-24,Mumbai,43430.0,Omni,5,0,2000.0,Post-work drinks,5,Never,Mocktails,500,"Earthy, Herbal, Smoky",None,Yes definitely,800-1 000,4,Yes,5,Free delivery
35-44,Mumbai,27571.0,Omni,2,0,1429.0,Post-work drinks,3,1-2× month,Mocktails,500,Fruity,"Rum, Vodka, Whisky",Yes definitely,>1 200,1,Maybe,2,Free delivery
35-44,Hyderabad,20000.0,Omni,5,1,1048.0,"Dinner, Lunch, Post-work drinks",3,1× week,Cocktails,700,"Citrus, Earthy, Fruity","Rum, Tequila",Unlikely,<800,5,Yes,4,Points
18-24,Delhi,52308.0,Vegan,0,1,2000.0,"Lunch, Post-work drinks, Weekend treat",4,Never,Mocktails,600,Smoky,None,Yes definitely,1 000-1 200,3,Yes,3,Cocktail upgrade
35-44,Delhi,42400.0,Vegetarian,0,1,1912.0,"Dinner, Post-work drinks",5,1× week,Mocktails,600,Smoky,"Gin, Vodka",Unlikely,>1 200,2,Maybe,4,Free delivery
35-44,Chennai,25816.0,Omni,1,0,1147.0,Post-work drinks,4,1× week,Mocktails,600,Herbal,Gin,Unlikely,800-1 000,3,No,2,Points
55+,Mumbai,46188.0,Omni,6,0,1908.0,"Lunch, Post-work drinks",5,1× week,Mocktails,500,Fruity,"Gin, Tequila, Vodka",Maybe,1 000-1 200,3,Maybe,4,Free delivery
25-34,Kolkata,35021.0,Omni,0,1,1594.0,Lunch,5,1-2× month,Equal,600,"Smoky, Spicy","Gin, Tequila",Maybe,<800,5,Yes,5,Nutrition consult
25-34,Bengaluru,20000.0,Omni,4,1,1725.0,Dinner,5,1× week,Cocktails,500,"Fruity, Spicy","Tequila, Whisky",Never,1 000-1 200,4,Maybe,3,Points
25-34,Mumbai,20000.0,Omni,0,3,760.0,"Lunch, Weekend treat",4,1-2× month,Cocktails,600,Fruity,Whisky,Yes definitely,800-1 000,4,Yes,4,Cocktail upgrade
25-34,Mumbai,64801.0,Omni,2,0,2000.0,"Lunch, Post-work drinks",4,2-3× week,Avoid all,500,Earthy,Whisky,Maybe,>1 200,5,Yes,4,Points
25-34,Delhi,27111.0,Vegan,3,1,1158.0,"Lunch, Post-work drinks, Weekend treat",5,2-3× week,Cocktails,400,"Citrus, Smoky",Vodka,Unlikely,1 000-1 200,5,No,1,Free delivery
25-34,Hyderabad,65719.0,Omni,2,0,4000.0,"Lunch, Weekend treat",4,1× week,Mocktails,700,"Fruity, Smoky, Spicy","Rum, Vodka",Maybe,1 000-1 200,4,Yes,5,Free delivery
45-54,Mumbai,22490.0,Omni,2,5,1174.0,Dinner,1,1-2× month,Equal,500,"Fruity, Smoky",Rum,Yes definitely,800-1 000,4,No,2,Points
18-24,Delhi,20000.0,Keto,4,1,978.0,Post-work drinks,5,1× week,Equal,600,"Fruity, Spicy",Vodka,Maybe,1 000-1 200,4,Maybe,2,Free delivery
18-24,Chennai,28213.0,Omni,7,2,1286.0,Lunch,3,1× week,Equal,700,"Herbal, Smoky",Gin,Maybe,800-1 000,5,Yes,4,Points
25-34,Hyderabad,20000.0,Keto,4,2,1007.0,"Dinner, Lunch, Post-work drinks",5,1× week,Avoid all,600,Smoky,"Gin, Tequila",Never,1 000-1 200,2,Maybe,3,Points
18-24,Mumbai,38360.0,Omni,1,3,1733.0,Weekend treat,4,1-2× month,Cocktails,500,"Herbal, Smoky",Vodka,Never,<800,4,Yes,4,Free delivery
25-34,Mumbai,29210.0,Vegan,3,0,1378.0,"Dinner, Lunch",5,2-3× week,Equal,500,"Citrus, Earthy, Spicy",Tequila,Yes definitely,1 000-1 200,5,No,1,Nutrition consult
18-24,Mumbai,21297.0,Vegan,2,4,1158.0,Lunch,5,Never,Mocktails,400,Fruity,None,Yes definitely,800-1 000,4,No,1,Cocktail upgrade
55+,Delhi,20000.0,Vegetarian,2,0,999.0,Post-work drinks,4,1-2× month,Mocktails,500,Smoky,"Gin, Whisky",Yes definitely,1 000-1 200,5,Yes,3,Free delivery
25-34,Mumbai,20000.0,Omni,3,2,1026.0,"Lunch, Weekend treat",4,1-2× month,Mocktails,400,"Citrus, Fruity, Herbal",Gin,Yes definitely,>1 200,2,Maybe,2,Points
45-54,Pune,21962.0,Vegetarian,1,2,1100.0,Dinner,1,Never,Mocktails,600,"Herbal, Smoky",None,Yes definitely,1 000-1 200,3,Yes,5,Free delivery
25-34,Pune,46633.0,Vegetarian,1,3,2000.0,Dinner,4,Never,Mocktails,400,"Earthy, Herbal, Smoky",None,Yes definitely,1 000-1 200,5,Yes,5,Free delivery
18-24,Chennai,20279.0,Omni,4,0,891.0,Weekend treat,5,1-2× month,Mocktails,600,"Citrus, Herbal",Whisky,Yes definitely,1 000-1 200,5,Maybe,3,Nutrition consult
25-34,Hyderabad,39029.0,Vegetarian,0,1,1734.0,Weekend treat,5,2-3× week,Mocktails,600,Citrus,Tequila,Maybe,800-1 000,5,No,1,Cocktail upgrade
25-34,Mumbai,20812.0,Omni,1,0,884.0,"Dinner, Lunch",3,1× week,Cocktails,500,"Fruity, Smoky, Spicy","Vodka, Whisky",Unlikely,>1 200,5,Yes,5,Points
35-44,Mumbai,32812.0,Omni,2,2,1609.0,"Dinner, Post-work drinks",5,Never,Mocktails,600,"Citrus, Fruity",None,Yes definitely,800-1 000,5,Yes,4,Free delivery
35-44,Mumbai,47325.0,Vegetarian,4,2,2000.0,"Dinner, Weekend treat",5,2-3× week,Cocktails,500,"Herbal, Spicy",Rum,Unlikely,800-1 000,3,Yes,5,Nutrition consult
45-54,Mumbai,40965.0,Vegan,5,1,1741.0,Dinner,3,1-2× month,Cocktails,500,Citrus,"Tequila, Vodka",Unlikely,<800,5,Yes,4,Free delivery
55+,Kolkata,20000.0,Keto,1,0,978.0,Dinner,4,2-3× week,Cocktails,500,"Fruity, Herbal",Rum,Never,800-1 000,2,Maybe,3,Nutrition consult
18-24,Pune,20000.0,Vegetarian,1,0,930.0,Weekend treat,1,1-2× month,Equal,500,"Fruity, Herbal",Whisky,Never,800-1 000,3,Yes,3,Cocktail upgrade
55+,Mumbai,22227.0,Omni,5,2,1166.0,"Lunch, Post-work drinks, Weekend treat",4,1-2× month,Cocktails,600,"Citrus, Fruity","Rum, Tequila",Maybe,>1 200,2,Yes,4,Nutrition consult
45-54,Pune,33670.0,Vegetarian,5,1,1582.0,Weekend treat,5,1-2× month,Mocktails,500,"Citrus, Earthy","Gin, Rum, Tequila",Never,800-1 000,2,Maybe,2,Points
25-34,Chennai,20560.0,Omni,1,3,1181.0,Post-work drinks,2,Never,Mocktails,600,Citrus,None,Yes definitely,1 000-1 200,3,Yes,5,Points
25-34,Pune,20163.0,Omni,3,1,1060.0,Lunch,5,Never,Mocktails,500,"Herbal, Smoky, Spicy",None,Yes definitely,>1 200,5,Yes,4,Cocktail upgrade
45-54,Mumbai,20000.0,Vegetarian,0,1,782.0,Weekend treat,5,2-3× week,Equal,400,Earthy,Tequila,Maybe,1 000-1 200,3,No,2,Cocktail upgrade
18-24,Bengaluru,20000.0,Omni,2,5,843.0,Weekend treat,4,Never,Mocktails,600,"Citrus, Spicy",None,Yes definitely,800-1 000,5,Yes,3,Free delivery
35-44,Mumbai,21800.0,Keto,6,1,874.0,"Lunch, Weekend treat",5,Never,Mocktails,500,Spicy,None,Yes definitely,1 000-1 200,5,No,2,Cocktail upgrade
18-24,Delhi,20000.0,Omni,0,2,958.0,Weekend treat,3,Never,Mocktails,500,Citrus,None,Yes definitely,1 000-1 200,5,Yes,4,Free delivery
25-34,Mumbai,40767.0,Vegetarian,1,5,1808.0,"Lunch, Post-work drinks",1,Never,Mocktails,500,"Earthy, Fruity, Herbal",None,Yes definitely,1 000-1 200,1,Yes,4,Points
18-24,Delhi,20000.0,Vegetarian,2,1,973.0,"Dinner, Lunch, Weekend treat",5,2-3× week,Mocktails,400,"Citrus, Herbal, Smoky",Rum,Maybe,1 000-1 200,3,Yes,5,Points
25-34,Mumbai,20635.0,Omni,3,3,1135.0,Post-work drinks,5,1× week,Cocktails,700,"Citrus, Fruity",Tequila,Maybe,800-1 000,3,Maybe,3,Free delivery
35-44,Mumbai,52281.0,Omni,4,3,2000.0,Weekend treat,5,Never,Mocktails,500,Citrus,None,Yes definitely,1 000-1 200,5,Maybe,3,Points
18-24,Mumbai,23744.0,Keto,2,2,1136.0,Dinner,5,1-2× month,Mocktails,400,"Citrus, Earthy, Herbal","Rum, Whisky",Yes definitely,1 000-1 200,5,Yes,4,Free delivery
18-24,Delhi,20000.0,Omni,2,4,1086.0,"Dinner, Lunch",3,Never,Mocktails,500,Smoky,None,Yes definitely,1 000-1 200,4,Maybe,4,Points
18-24,Pune,20000.0,Vegetarian,1,2,965.0,"Dinner, Weekend treat",4,1-2× month,Equal,500,"Earthy, Fruity, Smoky, Spicy",Gin,Maybe,1 000-1 200,4,Maybe,3,Cocktail upgrade
25-34,Chennai,48056.0,Omni,6,2,2000.0,Dinner,5,Never,Mocktails,600,"Smoky, Spicy",None,Yes definitely,800-1 000,5,No,2,Nutrition consult
18-24,Hyderabad,26862.0,Omni,0,1,1221.0,"Lunch, Post-work drinks",4,1× week,Cocktails,500,Smoky,Rum,Yes definitely,1 000-1 200,4,Maybe,3,Points
25-34,Hyderabad,20000.0,Omni,0,4,1095.0,Dinner,5,Never,Mocktails,500,"Earthy, Smoky",None,Yes definitely,1 000-1 200,5,Yes,4,Free delivery
45-54,Hyderabad,24258.0,Omni,0,4,1160.0,Dinner,4,1× week,Equal,500,"Citrus, Smoky",Whisky,Yes definitely,1 000-1 200,5,Maybe,3,Cocktail upgrade
18-24,Bengaluru,23706.0,Omni,0,1,1245.0,"Lunch, Post-work drinks",4,2-3× week,Cocktails,500,Smoky,"Rum, Vodka",Unlikely,800-1 000,4,Maybe,3,Free delivery
45-54,Mumbai,20000.0,Keto,3,3,1086.0,Dinner,3,1-2× month,Mocktails,600,"Earthy, Smoky",Vodka,Yes definitely,>1 200,5,Yes,5,Points
25-34,Chennai,71320.0,Vegetarian,3,0,2000.0,"Lunch, Post-work drinks",5,1-2× month,Cocktails,500,Earthy,Tequila,Maybe,>1 200,4,Maybe,3,Nutrition consult
18-24,Bengaluru,20574.0,Vegetarian,4,1,879.0,Dinner,5,1× week,Cocktails,500,"Citrus, Earthy",Whisky,Maybe,1 000-1 200,4,Maybe,4,Free delivery
35-44,Pune,24787.0,Omni,2,0,1242.0,"Lunch, Weekend treat",5,Never,Mocktails,500,Fruity,None,Yes definitely,800-1 000,4,Maybe,2,Points
18-24,Hyderabad,68945.0,Keto,6,4,2000.0,"Post-work drinks, Weekend treat",4,Never,Mocktails,500,"Citrus, Herbal",None,Yes definitely,>1 200,5,No,1,Free delivery
25-34,Mumbai,20000.0,Omni,3,4,1055.0,Dinner,5,1-2× month,Equal,600,"Citrus, Herbal, Spicy","Gin, Rum, Tequila, Vodka, Whisky",Yes definitely,1 000-1 200,3,Yes,4,Cocktail upgrade
45-54,Pune,34468.0,Omni,2,0,1553.0,Weekend treat,1,1× week,Cocktails,500,"Fruity, Spicy",Gin,Yes definitely,1 000-1 200,1,Maybe,2,Points
25-34,Delhi,28452.0,Omni,2,4,1371.0,"Lunch, Weekend treat",4,Never,Mocktails,600,Earthy,None,Yes definitely,1 000-1 200,4,Yes,3,Points
25-34,Delhi,21783.0,Omni,2,0,1092.0,"Dinner, Post-work drinks",5,Never,Mocktails,500,"Fruity, Herbal",None,Yes definitely,800-1 000,4,Yes,4,Free delivery
45-54,Kolkata,45780.0,Omni,7,2,1964.0,"Post-work drinks, Weekend treat",5,1-2× month,Cocktails,700,"Citrus, Fruity","Gin, Rum",Yes definitely,1 000-1 200,4,No,1,Nutrition consult
18-24,Mumbai,39485.0,Omni,2,1,1696.0,"Lunch, Post-work drinks",5,2-3× week,Mocktails,500,Earthy,Vodka,Yes definitely,<800,3,Maybe,4,Nutrition consult
25-34,Bengaluru,22444.0,Omni,3,5,928.0,"Dinner, Lunch",4,Never,Mocktails,500,"Herbal, Spicy",None,Yes definitely,1 000-1 200,3,Maybe,4,Cocktail upgrade
35-44,Bengaluru,51403.0,Omni,1,2,2000.0,"Dinner, Lunch",4,Never,Mocktails,600,"Citrus, Fruity, Herbal, Spicy",None,Yes definitely,1 000-1 200,4,Yes,4,Points
25-34,Hyderabad,24887.0,Omni,7,2,1111.0,"Dinner, Lunch, Weekend treat",5,1-2× month,Cocktails,700,"Citrus, Earthy, Herbal",Rum,Maybe,800-1 000,4,Yes,5,Free delivery
18-24,Kolkata,20000.0,Omni,3,2,1082.0,Lunch,4,1-2× month,Cocktails,600,"Earthy, Fruity, Smoky","Gin, Rum",Never,800-1 000,4,Yes,4,Points
25-34,Delhi,20000.0,Vegetarian,1,1,1063.0,"Lunch, Post-work drinks, Weekend treat",4,1-2× month,Cocktails,500,Herbal,Vodka,Unlikely,1 000-1 200,3,Yes,3,Cocktail upgrade
18-24,Mumbai,20000.0,Vegetarian,0,0,961.0,Weekend treat,5,1-2× month,Equal,500,Citrus,Vodka,Maybe,1 000-1 200,2,Maybe,2,Cocktail upgrade
55+,Hyderabad,20000.0,Omni,2,1,952.0,Post-work drinks,5,1-2× month,Cocktails,500,"Citrus, Earthy, Herbal","Gin, Tequila",Unlikely,1 000-1 200,4,Yes,5,Points
25-34,Bengaluru,24746.0,Omni,0,1,1296.0,Post-work drinks,4,1-2× month,Mocktails,500,"Citrus, Fruity, Herbal, Spicy",Rum,Never,1 000-1 200,5,Yes,4,Cocktail upgrade
18-24,Mumbai,21608.0,Vegetarian,2,4,1113.0,"Lunch, Post-work drinks",2,Never,Mocktails,500,"Citrus, Fruity, Spicy",None,Yes definitely,>1 200,4,Yes,4,Cocktail upgrade
18-24,Mumbai,51511.0,Omni,0,3,2000.0,Post-work drinks,2,1-2× month,Mocktails,500,Spicy,Vodka,Unlikely,800-1 000,4,Maybe,3,Free delivery
18-24,Mumbai,53208.0,Vegetarian,4,1,2000.0,Lunch,5,1-2× month,Cocktails,400,"Fruity, Smoky, Spicy",Vodka,Maybe,>1 200,3,Yes,5,Nutrition consult
45-54,Delhi,21055.0,Vegetarian,2,0,1248.0,"Dinner, Post-work drinks",4,1-2× month,Equal,600,"Earthy, Smoky, Spicy","Rum, Whisky",Unlikely,<800,5,Maybe,4,Cocktail upgrade
18-24,Delhi,20000.0,Vegetarian,0,0,1014.0,Post-work drinks,4,1× week,Equal,600,Smoky,"Rum, Tequila, Whisky",Unlikely,800-1 000,1,Yes,4,Nutrition consult
25-34,Mumbai,34174.0,Vegetarian,5,0,1528.0,"Dinner, Lunch",5,Never,Mocktails,400,"Fruity, Herbal",None,Yes definitely,>1 200,3,Maybe,3,Points
35-44,Mumbai,20000.0,Omni,1,0,1114.0,Weekend treat,5,1-2× month,Cocktails,500,Fruity,"Tequila, Vodka",Maybe,1 000-1 200,5,Yes,5,Nutrition consult
25-34,Hyderabad,24809.0,Keto,4,2,1289.0,"Lunch, Post-work drinks",5,1-2× month,Avoid all,600,Fruity,Rum,Yes definitely,800-1 000,4,Yes,3,Points
25-34,Mumbai,29237.0,Omni,1,2,1566.0,Dinner,2,Never,Mocktails,400,"Fruity, Spicy",None,Yes definitely,1 000-1 200,5,Maybe,3,Points
18-24,Hyderabad,26932.0,Omni,1,2,1431.0,"Lunch, Weekend treat",5,2-3× week,Cocktails,600,Earthy,Tequila,Maybe,>1 200,4,Maybe,3,Free delivery
18-24,Pune,96428.0,Omni,0,3,2000.0,Lunch,5,1-2× month,Cocktails,600,Smoky,"Gin, Whisky",Yes definitely,>1 200,3,Maybe,3,Nutrition consult
25-34,Delhi,20000.0,Omni,0,2,1134.0,"Dinner, Lunch",5,1× week,Equal,400,"Herbal, Smoky","Tequila, Vodka",Maybe,800-1 000,4,Yes,5,Points
55+,Bengaluru,33495.0,Omni,0,1,1564.0,"Lunch, Post-work drinks, Weekend treat",5,1× week,Mocktails,400,Fruity,"Rum, Vodka",Yes definitely,1 000-1 200,2,Maybe,2,Free delivery
35-44,Mumbai,20000.0,Omni,2,0,1106.0,Post-work drinks,5,1-2× month,Mocktails,400,Fruity,"Gin, Tequila, Vodka, Whisky",Unlikely,<800,4,Yes,5,Cocktail upgrade
18-24,Hyderabad,24059.0,Vegetarian,3,2,1085.0,Weekend treat,3,1-2× month,Cocktails,600,Smoky,Whisky,Maybe,1 000-1 200,3,Yes,4,Cocktail upgrade
45-54,Bengaluru,20613.0,Vegan,0,5,2040.0,"Post-work drinks, Weekend treat",4,1-2× month,Equal,400,Smoky,Gin,Maybe,1 000-1 200,3,Yes,4,Cocktail upgrade
18-24,Mumbai,20000.0,Omni,3,4,966.0,"Post-work drinks, Weekend treat",3,Never,Mocktails,500,Spicy,None,Yes definitely,<800,2,Yes,4,Cocktail upgrade
45-54,Bengaluru,20000.0,Omni,4,2,847.0,Dinner,5,2-3× week,Cocktails,500,"Citrus, Fruity, Spicy",Vodka,Yes definitely,800-1 000,4,Yes,5,Points
35-44,Delhi,29947.0,Omni,0,2,1503.0,Post-work drinks,5,1× week,Equal,500,"Fruity, Smoky, Spicy","Gin, Rum, Tequila",Yes definitely,<800,3,Maybe,2,Points
25-34,Mumbai,22826.0,Omni,0,0,1077.0,Dinner,5,1-2× month,Avoid all,500,"Fruity, Herbal, Spicy","Tequila, Whisky",Maybe,800-1 000,1,No,2,Points
25-34,Hyderabad,64145.0,Omni,0,2,2000.0,Weekend treat,4,2-3× week,Cocktails,600,"Earthy, Fruity, Herbal, Smoky",Gin,Yes definitely,800-1 000,3,Yes,3,Points
25-34,Kolkata,25645.0,Omni,5,2,1414.0,Post-work drinks,4,1-2× month,Equal,400,Citrus,Vodka,Never,<800,5,Yes,4,Points
18-24,Mumbai,41581.0,Omni,0,1,1751.0,Post-work drinks,5,1× week,Cocktails,400,Herbal,Whisky,Never,800-1 000,5,No,2,Nutrition consult
25-34,Delhi,20000.0,Omni,2,1,964.0,"Dinner, Lunch, Post-work drinks",4,1-2× month,Mocktails,600,"Earthy, Herbal",Whisky,Yes definitely,800-1 000,3,Maybe,4,Cocktail upgrade
18-24,Hyderabad,82393.0,Vegan,0,0,2000.0,"Dinner, Weekend treat",5,1-2× month,Cocktails,500,"Earthy, Herbal, Spicy",Gin,Maybe,<800,3,Yes,4,Points
18-24,Pune,20000.0,Keto,4,3,1006.0,Dinner,5,Never,Mocktails,500,Herbal,None,Yes definitely,1 000-1 200,3,Yes,5,Nutrition consult
35-44,Hyderabad,20000.0,Omni,0,1,909.0,Post-work drinks,3,1-2× month,Equal,400,"Citrus, Fruity, Smoky, Spicy",Tequila,Unlikely,1 000-1 200,2,No,2,Free delivery
35-44,Mumbai,24299.0,Vegetarian,0,2,1293.0,Post-work drinks,5,1-2× month,Mocktails,500,"Fruity, Spicy",Whisky,Unlikely,1 000-1 200,5,Maybe,2,Cocktail upgrade
25-34,Bengaluru,20017.0,Vegetarian,0,0,1113.0,"Post-work drinks, Weekend treat",5,Never,Mocktails,500,"Citrus, Fruity, Herbal, Smoky, Spicy",None,Yes definitely,>1 200,4,No,1,Nutrition consult
25-34,Mumbai,24859.0,Other,3,3,1178.0,Dinner,4,1-2× month,Cocktails,500,Fruity,"Gin, Rum",Maybe,1 000-1 200,3,No,1,Points
25-34,Bengaluru,20000.0,Omni,4,3,1190.0,"Dinner, Post-work drinks",5,Never,Mocktails,600,"Herbal, Smoky",None,Yes definitely,1 000-1 200,4,Yes,4,Free delivery
35-44,Hyderabad,24479.0,Vegetarian,7,2,1289.0,Lunch,5,Never,Mocktails,500,"Citrus, Earthy",None,Yes definitely,800-1 000,4,Maybe,3,Cocktail upgrade
35-44,Mumbai,68587.0,Vegetarian,2,1,2000.0,"Dinner, Weekend treat",5,1× week,Cocktails,500,Citrus,Tequila,Unlikely,800-1 000,3,Maybe,3,Nutrition consult
25-34,Mumbai,22002.0,Vegetarian,3,5,1130.0,"Dinner, Post-work drinks",4,1× week,Cocktails,500,Smoky,Tequila,Never,1 000-1 200,3,Yes,5,Cocktail upgrade
18-24,Delhi,23666.0,Omni,2,3,1201.0,Dinner,2,2-3× week,Equal,500,Fruity,Tequila,Unlikely,800-1 000,4,Maybe,2,Points
25-34,Delhi,28980.0,Omni,0,3,1327.0,"Lunch, Post-work drinks",5,1-2× month,Cocktails,600,"Earthy, Fruity, Herbal",Rum,Maybe,800-1 000,5,Yes,3,Free delivery
55+,Delhi,21124.0,Keto,2,1,985.0,"Dinner, Lunch, Weekend treat",5,1-2× month,Cocktails,500,"Earthy, Herbal",Gin,Maybe,800-1 000,5,Yes,4,Points
